geo,time,na_item,values
AT,2003-01-01,Export,26267.5
AT,2003-04-01,Export,26134.2
AT,2003-07-01,Export,26912.6
AT,2003-10-01,Export,27370
AT,2004-01-01,Export,27791
AT,2004-04-01,Export,28828.9
AT,2004-07-01,Export,29291.2
AT,2004-10-01,Export,29045.4
AT,2005-01-01,Export,29668
AT,2005-04-01,Export,30362.5
AT,2005-07-01,Export,31224.5
AT,2005-10-01,Export,32120.5
AT,2006-01-01,Export,32398.4
AT,2006-04-01,Export,33097.1
AT,2006-07-01,Export,33421.7
AT,2006-10-01,Export,34585.6
AT,2007-01-01,Export,34848.2
AT,2007-04-01,Export,35439.6
AT,2007-07-01,Export,36005.1
AT,2007-10-01,Export,36952.2
AT,2008-01-01,Export,37448.1
AT,2008-04-01,Export,37052.6
AT,2008-07-01,Export,36640
AT,2008-10-01,Export,34338.9
AT,2009-01-01,Export,30947.5
AT,2009-04-01,Export,30456.3
AT,2009-07-01,Export,31504.2
AT,2009-10-01,Export,32264.8
AT,2010-01-01,Export,33104.6
AT,2010-04-01,Export,34875.8
AT,2010-07-01,Export,36263.8
AT,2010-10-01,Export,36524.9
AT,2011-01-01,Export,37080.4
AT,2011-04-01,Export,37355.6
AT,2011-07-01,Export,37568.1
AT,2011-10-01,Export,37927.5
AT,2012-01-01,Export,37778.1
AT,2012-04-01,Export,37968.3
AT,2012-07-01,Export,38258.2
AT,2012-10-01,Export,38413.9
AT,2013-01-01,Export,37597.3
AT,2013-04-01,Export,38292
AT,2013-07-01,Export,38709.3
AT,2013-10-01,Export,38580.1
AT,2014-01-01,Export,38745.1
AT,2014-04-01,Export,39138.2
AT,2014-07-01,Export,39723.5
AT,2014-10-01,Export,40285.2
AT,2015-01-01,Export,40474.4
AT,2015-04-01,Export,40526.5
AT,2015-07-01,Export,41043.9
AT,2015-10-01,Export,40646.8
AT,2016-01-01,Export,41600.9
AT,2016-04-01,Export,41385.4
AT,2016-07-01,Export,42126.9
AT,2016-10-01,Export,41687.3
AT,2017-01-01,Export,42974
AT,2017-04-01,Export,43866.7
AT,2017-07-01,Export,44205.8
AT,2017-10-01,Export,45171.2
AT,2018-01-01,Export,45306.5
AT,2018-04-01,Export,46470
AT,2018-07-01,Export,46079.1
AT,2018-10-01,Export,46934.6
AT,2019-01-01,Export,48517.4
AT,2019-04-01,Export,47790.4
AT,2019-07-01,Export,47972.5
AT,2019-10-01,Export,47735.7
AT,2020-01-01,Export,45826.2
AT,2020-04-01,Export,37197.4
AT,2020-07-01,Export,43282.5
AT,2020-10-01,Export,44196.5
AT,2021-01-01,Export,42969.9
AT,2021-04-01,Export,46840.3
AT,2021-07-01,Export,47763.8
AT,2021-10-01,Export,48997.3
AT,2022-01-01,Export,49278.3
AT,2022-04-01,Export,52447
AT,2022-07-01,Export,53217.5
AT,2022-10-01,Export,53668.6
AT,2023-01-01,Export,53969.5
AT,2023-04-01,Export,51888.3
AT,2023-07-01,Export,51543.1
AT,2023-10-01,Export,51524.3
AT,2024-01-01,Export,52855.6
AT,2024-04-01,Export,51414.3
AT,1995-01-01,FinConsExpHH,27779
AT,1995-04-01,FinConsExpHH,27857.8
AT,1995-07-01,FinConsExpHH,28061.8
AT,1995-10-01,FinConsExpHH,28292.2
AT,1996-01-01,FinConsExpHH,28628.5
AT,1996-04-01,FinConsExpHH,29071.5
AT,1996-07-01,FinConsExpHH,28784.5
AT,1996-10-01,FinConsExpHH,28777
AT,1997-01-01,FinConsExpHH,28745.1
AT,1997-04-01,FinConsExpHH,28693.7
AT,1997-07-01,FinConsExpHH,29017.5
AT,1997-10-01,FinConsExpHH,29294.7
AT,1998-01-01,FinConsExpHH,29591.4
AT,1998-04-01,FinConsExpHH,29473.4
AT,1998-07-01,FinConsExpHH,30087.4
