time,na_item,values,geo
2012-10-01,PriceETS,7.368196721311476,DE
2013-01-01,PriceETS,4.660483870967742,DE
2013-04-01,PriceETS,3.870819672131147,DE
2013-07-01,PriceETS,4.6042424242424245,DE
2013-10-01,PriceETS,4.729508196721311,DE
2014-01-01,PriceETS,5.844285714285714,DE
2014-04-01,PriceETS,5.298064516129032,DE
2014-07-01,PriceETS,6.0643939393939394,DE
2014-10-01,PriceETS,6.583548387096775,DE
2015-01-01,PriceETS,7.005396825396826,DE
2015-04-01,PriceETS,7.340163934426229,DE
2015-07-01,PriceETS,7.966666666666667,DE
2015-10-01,PriceETS,8.391111111111112,DE
2016-01-01,PriceETS,5.612096774193549,DE
2016-04-01,PriceETS,5.751692307692307,DE
2016-07-01,PriceETS,4.547424242424243,DE
2016-10-01,PriceETS,5.51484375,DE
2017-01-01,PriceETS,5.155076923076923,DE
2017-04-01,PriceETS,4.805806451612903,DE
2017-07-01,PriceETS,5.893692307692308,DE
2017-10-01,PriceETS,7.462698412698413,DE
2018-01-01,PriceETS,9.766825396825396,DE
2018-04-01,PriceETS,14.473809523809525,DE
2018-07-01,PriceETS,18.809538461538462,DE
2018-10-01,PriceETS,20.205806451612904,DE
2019-01-01,PriceETS,22.09428571428571,DE
2019-04-01,PriceETS,25.45032258064516,DE
2019-07-01,PriceETS,26.901515151515152,DE
2019-10-01,PriceETS,24.82241935483871,DE
2020-01-01,PriceETS,22.745,DE
2020-04-01,PriceETS,21.239032258064515,DE
2020-07-01,PriceETS,27.35681818181818,DE
2020-10-01,PriceETS,27.5034375,DE
2021-01-01,PriceETS,37.56873015873016,DE
2021-04-01,PriceETS,50.21258064516129,DE
2021-07-01,PriceETS,57.05045454545454,DE
2021-10-01,PriceETS,68.62815384615385,DE
2022-01-01,PriceETS,82.820625,DE
2022-04-01,PriceETS,83.48730158730159,DE
2022-07-01,PriceETS,79.66227272727272,DE
2022-10-01,PriceETS,77.3909375,DE
2023-01-01,PriceETS,86.9043076923077,DE
2023-04-01,PriceETS,86.34016129032258,DE
2023-07-01,PriceETS,84.39292307692308,DE
2023-10-01,PriceETS,76.15269841269841,DE
2024-01-01,PriceETS,59.59952380952381,DE
2024-04-01,PriceETS,67.97015873015873,DE
2024-07-01,PriceETS,67.41784615384616,DE
2024-10-01,PriceETS,63.226,DE
1980-01-01,Factor,100,DE
1980-04-01,Factor,100,DE
1980-07-01,Factor,100,DE
1980-10-01,Factor,100,DE
1981-01-01,Factor,100,DE
1981-04-01,Factor,100,DE
1981-07-01,Factor,100,DE
1981-10-01,Factor,100,DE
1982-01-01,Factor,100,DE
1982-04-01,Factor,100,DE
1982-07-01,Factor,100,DE
1982-10-01,Factor,100,DE
1983-01-01,Factor,100,DE
1983-04-01,Factor,100,DE
1983-07-01,Factor,100,DE
1983-10-01,Factor,100,DE
1984-01-01,Factor,100,DE
1984-04-01,Factor,100,DE
1984-07-01,Factor,100,DE
1984-10-01,Factor,100,DE
1985-01-01,Factor,100,DE
1985-04-01,Factor,100,DE
1985-07-01,Factor,100,DE
1985-10-01,Factor,100,DE
1986-01-01,Factor,100,DE
1986-04-01,Factor,100,DE
1986-07-01,Factor,100,DE
1986-10-01,Factor,100,DE
1987-01-01,Factor,100,DE
1987-04-01,Factor,100,DE
1987-07-01,Factor,100,DE
1987-10-01,Factor,100,DE
1988-01-01,Factor,100,DE
1988-04-01,Factor,100,DE
1988-07-01,Factor,100,DE
1988-10-01,Factor,100,DE
1989-01-01,Factor,100,DE
1989-04-01,Factor,100,DE
