,"European Union Emissions Trading System",,,,," "
Date,"Exchange rate EUR/EUR","Exchange rate EUR/USD","Market Currency","Primary Market","Secondary Market"," "
2005-03-09,1,1.320066667,EUR,,10.4," "
2005-03-10,1,1.320066667,EUR,,11.12," "
2005-03-15,1,1.320066667,EUR,,10.6," "
2005-03-16,1,1.320066667,EUR,,10.76," "
2005-03-18,1,1.320066667,EUR,,11.45," "
2005-03-21,1,1.320066667,EUR,,13.45," "
2005-03-22,1,1.320066667,EUR,,14.32," "
2005-03-29,1,1.320066667,EUR,,13.45," "
2005-03-31,1,1.320066667,EUR,,14.25," "
2005-04-01,1,1.293790476,EUR,,14.7," "
2005-04-04,1,1.293790476,EUR,,16.95," "
2005-04-05,1,1.293790476,EUR,,16.4," "
2005-04-06,1,1.293790476,EUR,,14.65," "
2005-04-07,1,1.293790476,EUR,,15.05," "
2005-04-08,1,1.293790476,EUR,,14.2," "
2005-04-11,1,1.293790476,EUR,,13.5," "
2005-04-12,1,1.293790476,EUR,,15.5," "
2005-04-13,1,1.293790476,EUR,,15.15," "
2005-04-14,1,1.293790476,EUR,,15.74," "
2005-04-15,1,1.293790476,EUR,,15.62," "
2005-04-18,1,1.293790476,EUR,,15.65," "
2005-04-19,1,1.293790476,EUR,,16.35," "
2005-04-20,1,1.293790476,EUR,,17.7," "
2005-04-21,1,1.293790476,EUR,,17.5," "
2005-04-22,1,1.293790476,EUR,,16.9," "
2005-04-25,1,1.293790476,EUR,,16.66," "
2005-04-26,1,1.293790476,EUR,,16.81," "
2005-04-27,1,1.293790476,EUR,,16.23," "
2005-04-28,1,1.293790476,EUR,,15.9," "
2005-04-29,1,1.293790476,EUR,,16," "
2005-05-02,1,1.269395455,EUR,,15.32," "
2005-05-03,1,1.269395455,EUR,,16," "
2005-05-04,1,1.269395455,EUR,,15.85," "
2005-05-06,1,1.269395455,EUR,,16.05," "
2005-05-10,1,1.269395455,EUR,,17.05," "
2005-05-11,1,1.269395455,EUR,,16.05," "
2005-05-12,1,1.269395455,EUR,,16," "
2005-05-13,1,1.269395455,EUR,,16," "
2005-05-17,1,1.269395455,EUR,,17.02," "
2005-05-18,1,1.269395455,EUR,,16.81," "
2005-05-19,1,1.269395455,EUR,,17.43," "
2005-05-20,1,1.269395455,EUR,,18.15," "
2005-05-23,1,1.269395455,EUR,,18.5," "
2005-05-26,1,1.269395455,EUR,,19.94," "
2005-05-27,1,1.269395455,EUR,,19.69," "
2005-05-30,1,1.269395455,EUR,,19.06," "
2005-05-31,1,1.269395455,EUR,,19.55," "
2005-06-01,1,1.216490909,EUR,,19.32," "
2005-06-06,1,1.216490909,EUR,,18.91," "
2005-06-07,1,1.216490909,EUR,,19.02," "
2005-06-08,1,1.216490909,EUR,,19.21," "
2005-06-09,1,1.216490909,EUR,,19.27," "
2005-06-10,1,1.216490909,EUR,,19.21," "
2005-06-13,1,1.216490909,EUR,,19.35," "
2005-06-14,1,1.216490909,EUR,,19.4," "
2005-06-15,1,1.216490909,EUR,,19.45," "
2005-06-16,1,1.216490909,EUR,,19.25," "
2005-06-17,1,1.216490909,EUR,,20.4," "
2005-06-20,1,1.216490909,EUR,,22," "
2005-06-21,1,1.216490909,EUR,,22.8," "
2005-06-22,1,1.216490909,EUR,,22.95," "
2005-06-23,1,1.216490909,EUR,,22.85," "
2005-06-24,1,1.216490909,EUR,,23.02," "
2005-06-27,1,1.216490909,EUR,,23.15," "
2005-06-28,1,1.216490909,EUR,,23.85," "
2005-06-29,1,1.216490909,EUR,,24.1," "
2005-06-30,1,1.216490909,EUR,,25.3," "
2005-07-01,1,1.203719048,EUR,,25.76," "
2005-07-04,1,1.203719048,EUR,,27.84," "
2005-07-05,1,1.203719048,EUR,,28.66," "
2005-07-06,1,1.203719048,EUR,,28.72," "
2005-07-07,1,1.203719048,EUR,,29.03," "
2005-07-08,1,1.203719048,EUR,,28.81," "
2005-07-11,1,1.203719048,EUR,,29," "
2005-07-12,1,1.203719048,EUR,,28.8," "
2005-07-13,1,1.203719048,EUR,,28.65," "
2005-07-14,1,1.203719048,EUR,,25.55," "
2005-07-18,1,1.203719048,EUR,,23.94," "
2005-07-19,1,1.203719048,EUR,,23.91," "
2005-07-20,1,1.203719048,EUR,,23.1," "
2005-07-21,1,1.203719048,EUR,,21," "
2005-07-22,1,1.203719048,EUR,,18," "
2005-07-25,1,1.203719048,EUR,,19.5," "
2005-07-26,1,1.203719048,EUR,,20.01," "
2005-07-27,1,1.203719048,EUR,,20.9," "
2005-07-28,1,1.203719048,EUR,,21.35," "
2005-07-29,1,1.203719048,EUR,,22," "
2005-08-01,1,1.229243478,EUR,,22.02," "
2005-08-02,1,1.229243478,EUR,,21.2," "
2005-08-03,1,1.229243478,EUR,,20.54," "
2005-08-04,1,1.229243478,EUR,,19.91," "
2005-08-05,1,1.229243478,EUR,,20.8," "
2005-08-08,1,1.229243478,EUR,,21.48," "
2005-08-09,1,1.229243478,EUR,,21.99," "
2005-08-10,1,1.229243478,EUR,,21.9," "
2005-08-11,1,1.229243478,EUR,,22.43," "
2005-08-12,1,1.229243478,EUR,,22.33," "
2005-08-15,1,1.229243478,EUR,,21.95," "
2005-08-16,1,1.229243478,EUR,,21.92," "
2005-08-17,1,1.229243478,EUR,,22.4," "
2005-08-18,1,1.229243478,EUR,,22.26," "
2005-08-19,1,1.229243478,EUR,,22.43," "
2005-08-22,1,1.229243478,EUR,,22.65," "
2005-08-23,1,1.229243478,EUR,,22.56," "
2005-08-24,1,1.229243478,EUR,,22.69," "
2005-08-25,1,1.229243478,EUR,,22.98," "
2005-08-26,1,1.229243478,EUR,,23.08," "
2005-08-29,1,1.229243478,EUR,,23.3," "
2005-08-30,1,1.229243478,EUR,,23.2," "
2005-08-31,1,1.229243478,EUR,,23.53," "
2005-09-01,1,1.225640909,EUR,,24.2," "
2005-09-02,1,1.225640909,EUR,,24.4," "
2005-09-05,1,1.225640909,EUR,,24.35," "
2005-09-06,1,1.225640909,EUR,,24.32," "
2005-09-07,1,1.225640909,EUR,,24.35," "
2005-09-08,1,1.225640909,EUR,,23.98," "
2005-09-09,1,1.225640909,EUR,,23.6," "
2005-09-12,1,1.225640909,EUR,,22.25," "
2005-09-13,1,1.225640909,EUR,,21.55," "
2005-09-14,1,1.225640909,EUR,,22.35," "
2005-09-15,1,1.225640909,EUR,,22.55," "
2005-09-16,1,1.225640909,EUR,,21.9," "
2005-09-19,1,1.225640909,EUR,,22.13," "
2005-09-20,1,1.225640909,EUR,,22," "
2005-09-21,1,1.225640909,EUR,,21.98," "
2005-09-22,1,1.225640909,EUR,,22.2," "
2005-09-23,1,1.225640909,EUR,,22," "
2005-09-26,1,1.225640909,EUR,,21.45," "
2005-09-27,1,1.225640909,EUR,,22.03," "
2005-09-28,1,1.225640909,EUR,,22.65," "
2005-09-29,1,1.225640909,EUR,,22.8," "
2005-09-30,1,1.225640909,EUR,,22.7," "
2005-10-04,1,1.201452381,EUR,,23.24," "
2005-10-05,1,1.201452381,EUR,,23.95," "
2005-10-06,1,1.201452381,EUR,,23.68," "
2005-10-07,1,1.201452381,EUR,,23.1," "
2005-10-10,1,1.201452381,EUR,,23.1," "
2005-10-11,1,1.201452381,EUR,,23.15," "
2005-10-12,1,1.201452381,EUR,,23.43," "
2005-10-13,1,1.201452381,EUR,,23.43," "
2005-10-14,1,1.201452381,EUR,,23.1," "
2005-10-17,1,1.201452381,EUR,,23.1," "
2005-10-18,1,1.201452381,EUR,,22.78," "
2005-10-19,1,1.201452381,EUR,,22.45," "
2005-10-20,1,1.201452381,EUR,,22.18," "
2005-10-21,1,1.201452381,EUR,,21.8," "
2005-10-24,1,1.201452381,EUR,,21.43," "
2005-10-25,1,1.201452381,EUR,,21.43," "
2005-10-26,1,1.201452381,EUR,,21.7," "
2005-10-27,1,1.201452381,EUR,,21.77," "
2005-10-28,1,1.201452381,EUR,,22.06," "
2005-10-31,1,1.201452381,EUR,,22.13," "
2005-11-01,1,1.178572727,EUR,,21.85," "
2005-11-02,1,1.178572727,EUR,,21.5," "
2005-11-03,1,1.178572727,EUR,,21.28," "
2005-11-04,1,1.178572727,EUR,,21.43," "
2005-11-07,1,1.178572727,EUR,,21.62," "
2005-11-08,1,1.178572727,EUR,,22.08," "
2005-11-09,1,1.178572727,EUR,,22.55," "
2005-11-10,1,1.178572727,EUR,,22.68," "
2005-11-11,1,1.178572727,EUR,,22.67," "
2005-11-14,1,1.178572727,EUR,,23.15," "
2005-11-15,1,1.178572727,EUR,,22.88," "
2005-11-16,1,1.178572727,EUR,,22.67," "
2005-11-17,1,1.178572727,EUR,,22.53," "
2005-11-18,1,1.178572727,EUR,,21.78," "
2005-11-21,1,1.178572727,EUR,,21.58," "
2005-11-22,1,1.178572727,EUR,,21.99," "
2005-11-23,1,1.178572727,EUR,,21.35," "
2005-11-24,1,1.178572727,EUR,,19.7," "
2005-11-25,1,1.178572727,EUR,,20.14," "
2005-11-28,1,1.178572727,EUR,,20.07," "
2005-11-29,1,1.178572727,EUR,,19.63," "
2005-11-30,1,1.178572727,EUR,,19.75," "
2005-12-01,1,1.185609524,EUR,,20.07," "
2005-12-02,1,1.185609524,EUR,,21.25," "
2005-12-05,1,1.185609524,EUR,,22," "
2005-12-06,1,1.185609524,EUR,,22.1," "
2005-12-07,1,1.185609524,EUR,,21.9," "
2005-12-08,1,1.185609524,EUR,,21.18," "
2005-12-09,1,1.185609524,EUR,,20.63," "
2005-12-12,1,1.185609524,EUR,,21.3," "
2005-12-13,1,1.185609524,EUR,,21.7," "
2005-12-14,1,1.185609524,EUR,,21.35," "
2005-12-15,1,1.185609524,EUR,,21.47," "
2005-12-16,1,1.185609524,EUR,,21.18," "
2005-12-19,1,1.185609524,EUR,,21.2," "
2005-12-20,1,1.185609524,EUR,,20.93," "
2005-12-21,1,1.185609524,EUR,,20.65," "
2005-12-22,1,1.185609524,EUR,,20.58," "
2005-12-23,1,1.185609524,EUR,,20.7," "
2005-12-27,1,1.185609524,EUR,,20.78," "
2005-12-28,1,1.185609524,EUR,,20.98," "
2005-12-29,1,1.185609524,EUR,,21.1," "
2005-12-30,1,1.185609524,EUR,,21.15," "
2006-01-02,1,1.210313636,EUR,,22.33," "
2006-01-03,1,1.210313636,EUR,,21.75," "
2006-01-04,1,1.210313636,EUR,,22," "
2006-01-05,1,1.210313636,EUR,,22.42," "
2006-01-06,1,1.210313636,EUR,,22.98," "
2006-01-09,1,1.210313636,EUR,,22.62," "
2006-01-10,1,1.210313636,EUR,,22.59," "
2006-01-11,1,1.210313636,EUR,,22.8," "
2006-01-12,1,1.210313636,EUR,,22.8," "
2006-01-13,1,1.210313636,EUR,,22.83," "
2006-01-16,1,1.210313636,EUR,,22.77," "
2006-01-17,1,1.210313636,EUR,,23.86," "
2006-01-18,1,1.210313636,EUR,,24.83," "
2006-01-19,1,1.210313636,EUR,,24.88," "
2006-01-20,1,1.210313636,EUR,,26.23," "
2006-01-23,1,1.210313636,EUR,,25.37," "
2006-01-24,1,1.210313636,EUR,,24.78," "
2006-01-25,1,1.210313636,EUR,,25.14," "
2006-01-26,1,1.210313636,EUR,,25.94," "
2006-01-27,1,1.210313636,EUR,,25.35," "
2006-01-30,1,1.210313636,EUR,,25.92," "
2006-01-31,1,1.210313636,EUR,,25.95," "
2006-02-01,1,1.193835,EUR,,26.25," "
2006-02-02,1,1.193835,EUR,,26.9," "
2006-02-03,1,1.193835,EUR,,27.22," "
2006-02-06,1,1.193835,EUR,,26.96," "
2006-02-07,1,1.193835,EUR,,25.9," "
2006-02-08,1,1.193835,EUR,,25.4," "
2006-02-09,1,1.193835,EUR,,25.77," "
2006-02-10,1,1.193835,EUR,,26.01," "
2006-02-13,1,1.193835,EUR,,25.59," "
2006-02-14,1,1.193835,EUR,,25.68," "
2006-02-15,1,1.193835,EUR,,26.02," "
2006-02-16,1,1.193835,EUR,,26.18," "
2006-02-17,1,1.193835,EUR,,26.18," "
2006-02-20,1,1.193835,EUR,,26.52," "
2006-02-21,1,1.193835,EUR,,26.67," "
2006-02-22,1,1.193835,EUR,,26.84," "
2006-02-23,1,1.193835,EUR,,26.1," "
2006-02-24,1,1.193835,EUR,,26.19," "
2006-02-27,1,1.193835,EUR,,25.9," "
2006-02-28,1,1.193835,EUR,,25.7," "
2006-03-01,1,1.202,EUR,,26.23," "
2006-03-02,1,1.202,EUR,,26.54," "
2006-03-03,1,1.202,EUR,,26.6," "
2006-03-06,1,1.202,EUR,,26.53," "
2006-03-07,1,1.202,EUR,,26.1," "
2006-03-08,1,1.202,EUR,,26.27," "
2006-03-09,1,1.202,EUR,,26.18," "
2006-03-10,1,1.202,EUR,,26.33," "
2006-03-13,1,1.202,EUR,,26.75," "
2006-03-14,1,1.202,EUR,,26.61," "
2006-03-15,1,1.202,EUR,,26.43," "
2006-03-16,1,1.202,EUR,,26.14," "
2006-03-17,1,1.202,EUR,,26.3," "
2006-03-20,1,1.202,EUR,,26.49," "
2006-03-21,1,1.202,EUR,,26.55," "
2006-03-22,1,1.202,EUR,,26.5," "
2006-03-23,1,1.202,EUR,,26.53," "
2006-03-24,1,1.202,EUR,,26.4," "
2006-03-27,1,1.202,EUR,,26.15," "
2006-03-28,1,1.202,EUR,,26.31," "
2006-03-29,1,1.202,EUR,,26.54," "
2006-03-30,1,1.202,EUR,,26.69," "
2006-03-31,1,1.202,EUR,,26.69," "
2006-04-03,1,1.227116667,EUR,,26.73," "
2006-04-04,1,1.227116667,EUR,,26.94," "
2006-04-05,1,1.227116667,EUR,,27.85," "
2006-04-06,1,1.227116667,EUR,,28.43," "
2006-04-07,1,1.227116667,EUR,,28.24," "
2006-04-10,1,1.227116667,EUR,,28.4," "
2006-04-11,1,1.227116667,EUR,,28.75," "
2006-04-12,1,1.227116667,EUR,,28.77," "
2006-04-13,1,1.227116667,EUR,,28.63," "
2006-04-18,1,1.227116667,EUR,,29.78," "
2006-04-19,1,1.227116667,EUR,,29.7," "
2006-04-20,1,1.227116667,EUR,,29.43," "
2006-04-21,1,1.227116667,EUR,,28.95," "
2006-04-24,1,1.227116667,EUR,,29.37," "
2006-04-25,1,1.227116667,EUR,,26.9," "
2006-04-26,1,1.227116667,EUR,,21.5," "
2006-04-27,1,1.227116667,EUR,,16.23," "
2006-04-28,1,1.227116667,EUR,,13.38," "
2006-05-02,1,1.276959091,EUR,,10.96," "
2006-05-03,1,1.276959091,EUR,,11.96," "
2006-05-04,1,1.276959091,EUR,,14.22," "
2006-05-05,1,1.276959091,EUR,,12.73," "
2006-05-08,1,1.276959091,EUR,,11.92," "
2006-05-09,1,1.276959091,EUR,,12," "
2006-05-10,1,1.276959091,EUR,,13.03," "
2006-05-11,1,1.276959091,EUR,,12.65," "
2006-05-12,1,1.276959091,EUR,,9.13," "
2006-05-15,1,1.276959091,EUR,,14.95," "
2006-05-16,1,1.276959091,EUR,,16.33," "
2006-05-17,1,1.276959091,EUR,,15.5," "
2006-05-18,1,1.276959091,EUR,,15.48," "
2006-05-19,1,1.276959091,EUR,,16.01," "
2006-05-22,1,1.276959091,EUR,,17.86," "
2006-05-23,1,1.276959091,EUR,,19.16," "
2006-05-24,1,1.276959091,EUR,,18.73," "
2006-05-26,1,1.276959091,EUR,,18.6," "
2006-05-29,1,1.276959091,EUR,,18.35," "
2006-05-30,1,1.276959091,EUR,,17.43," "
2006-05-31,1,1.276959091,EUR,,16.48," "
2006-06-01,1,1.264995455,EUR,,15.95," "
2006-06-02,1,1.264995455,EUR,,15.88," "
2006-06-06,1,1.264995455,EUR,,15.53," "
2006-06-07,1,1.264995455,EUR,,14.65," "
2006-06-08,1,1.264995455,EUR,,14.11," "
2006-06-09,1,1.264995455,EUR,,13.8," "
2006-06-12,1,1.264995455,EUR,,14.75," "
2006-06-13,1,1.264995455,EUR,,14.8," "
2006-06-14,1,1.264995455,EUR,,14.53," "
2006-06-15,1,1.264995455,EUR,,14.57," "
2006-06-16,1,1.264995455,EUR,,14.7," "
2006-06-19,1,1.264995455,EUR,,14.9," "
2006-06-20,1,1.264995455,EUR,,15.5," "
2006-06-21,1,1.264995455,EUR,,15.09," "
2006-06-22,1,1.264995455,EUR,,15.28," "
2006-06-23,1,1.264995455,EUR,,15.13," "
2006-06-26,1,1.264995455,EUR,,14.67," "
2006-06-27,1,1.264995455,EUR,,14.9," "
2006-06-28,1,1.264995455,EUR,,15.23," "
2006-06-29,1,1.264995455,EUR,,15.57," "
2006-06-30,1,1.264995455,EUR,,15.68," "
2006-07-03,1,1.268366667,EUR,,15.88," "
2006-07-04,1,1.268366667,EUR,,15.81," "
2006-07-05,1,1.268366667,EUR,,15.78," "
2006-07-06,1,1.268366667,EUR,,16.05," "
2006-07-07,1,1.268366667,EUR,,15.98," "
2006-07-10,1,1.268366667,EUR,,16.04," "
2006-07-11,1,1.268366667,EUR,,16.19," "
2006-07-12,1,1.268366667,EUR,,16.23," "
2006-07-13,1,1.268366667,EUR,,16.25," "
2006-07-14,1,1.268366667,EUR,,16.4," "
2006-07-17,1,1.268366667,EUR,,17.13," "
2006-07-18,1,1.268366667,EUR,,16.9," "
2006-07-19,1,1.268366667,EUR,,16.38," "
2006-07-20,1,1.268366667,EUR,,16.57," "
2006-07-21,1,1.268366667,EUR,,16.53," "
2006-07-24,1,1.268366667,EUR,,16.38," "
2006-07-25,1,1.268366667,EUR,,16.08," "
2006-07-26,1,1.268366667,EUR,,16.26," "
2006-07-27,1,1.268366667,EUR,,16.49," "
2006-07-28,1,1.268366667,EUR,,15.98," "
2006-07-31,1,1.268366667,EUR,,16.02," "
2006-08-01,1,1.281130435,EUR,,16.23," "
2006-08-02,1,1.281130435,EUR,,16.29," "
2006-08-03,1,1.281130435,EUR,,15.97," "
2006-08-04,1,1.281130435,EUR,,15.17," "
2006-08-07,1,1.281130435,EUR,,15.55," "
2006-08-08,1,1.281130435,EUR,,15.65," "
2006-08-09,1,1.281130435,EUR,,15.62," "
2006-08-10,1,1.281130435,EUR,,15.54," "
2006-08-11,1,1.281130435,EUR,,15.63," "
2006-08-14,1,1.281130435,EUR,,15.47," "
2006-08-15,1,1.281130435,EUR,,15.4," "
2006-08-16,1,1.281130435,EUR,,15.54," "
2006-08-17,1,1.281130435,EUR,,15.64," "
2006-08-18,1,1.281130435,EUR,,15.75," "
2006-08-21,1,1.281130435,EUR,,16.4," "
2006-08-22,1,1.281130435,EUR,,16.72," "
2006-08-23,1,1.281130435,EUR,,16.58," "
2006-08-24,1,1.281130435,EUR,,16.17," "
2006-08-25,1,1.281130435,EUR,,16.1," "
2006-08-28,1,1.281130435,EUR,,16.04," "
2006-08-29,1,1.281130435,EUR,,15.85," "
2006-08-30,1,1.281130435,EUR,,15.57," "
2006-08-31,1,1.281130435,EUR,,15.73," "
2006-09-01,1,1.272742857,EUR,,15.83," "
2006-09-04,1,1.272742857,EUR,,16.15," "
2006-09-05,1,1.272742857,EUR,,16.34," "
2006-09-06,1,1.272742857,EUR,,16.41," "
2006-09-07,1,1.272742857,EUR,,16.29," "
2006-09-08,1,1.272742857,EUR,,16.23," "
2006-09-11,1,1.272742857,EUR,,16.05," "
2006-09-12,1,1.272742857,EUR,,16.17," "
2006-09-13,1,1.272742857,EUR,,16.1," "
2006-09-14,1,1.272742857,EUR,,16.14," "
2006-09-15,1,1.272742857,EUR,,16.15," "
2006-09-18,1,1.272742857,EUR,,16.08," "
2006-09-19,1,1.272742857,EUR,,15.55," "
2006-09-20,1,1.272742857,EUR,,13.95," "
2006-09-21,1,1.272742857,EUR,,13.58," "
2006-09-22,1,1.272742857,EUR,,13.48," "
2006-09-25,1,1.272742857,EUR,,12.6," "
2006-09-26,1,1.272742857,EUR,,11.65," "
2006-09-27,1,1.272742857,EUR,,12," "
2006-09-28,1,1.272742857,EUR,,12.45," "
2006-09-29,1,1.272742857,EUR,,12.85," "
2006-10-02,1,1.261104545,EUR,,12.35," "
2006-10-04,1,1.261104545,EUR,,11.84," "
2006-10-05,1,1.261104545,EUR,,12.01," "
2006-10-06,1,1.261104545,EUR,,11.97," "
2006-10-09,1,1.261104545,EUR,,12.28," "
2006-10-10,1,1.261104545,EUR,,12.41," "
2006-10-11,1,1.261104545,EUR,,12.32," "
2006-10-12,1,1.261104545,EUR,,12.34," "
2006-10-13,1,1.261104545,EUR,,12.42," "
2006-10-16,1,1.261104545,EUR,,12.36," "
2006-10-17,1,1.261104545,EUR,,12.67," "
2006-10-18,1,1.261104545,EUR,,12.77," "
2006-10-19,1,1.261104545,EUR,,12.78," "
2006-10-20,1,1.261104545,EUR,,12.72," "
2006-10-23,1,1.261104545,EUR,,12.49," "
2006-10-24,1,1.261104545,EUR,,12.47," "
2006-10-25,1,1.261104545,EUR,,11.93," "
2006-10-26,1,1.261104545,EUR,,12.08," "
2006-10-27,1,1.261104545,EUR,,11.73," "
2006-10-30,1,1.261104545,EUR,,10.75," "
2006-10-31,1,1.261104545,EUR,,10.73," "
2006-11-01,1,1.288140909,EUR,,11.1," "
2006-11-02,1,1.288140909,EUR,,10.71," "
2006-11-03,1,1.288140909,EUR,,10.58," "
2006-11-06,1,1.288140909,EUR,,10.33," "
2006-11-07,1,1.288140909,EUR,,9.38," "
2006-11-08,1,1.288140909,EUR,,9.45," "
2006-11-09,1,1.288140909,EUR,,9.49," "
2006-11-10,1,1.288140909,EUR,,8.64," "
2006-11-13,1,1.288140909,EUR,,8.36," "
2006-11-14,1,1.288140909,EUR,,9.09," "
2006-11-15,1,1.288140909,EUR,,9.06," "
2006-11-16,1,1.288140909,EUR,,8.57," "
2006-11-17,1,1.288140909,EUR,,8.58," "
2006-11-20,1,1.288140909,EUR,,8.56," "
2006-11-21,1,1.288140909,EUR,,8.68," "
2006-11-22,1,1.288140909,EUR,,8.66," "
2006-11-23,1,1.288140909,EUR,,8.71," "
2006-11-24,1,1.288140909,EUR,,9.03," "
2006-11-27,1,1.288140909,EUR,,8.9," "
2006-11-28,1,1.288140909,EUR,,8.57," "
2006-11-29,1,1.288140909,EUR,,8.08," "
2006-11-30,1,1.288140909,EUR,,7.87," "
2006-12-01,1,1.321278947,EUR,,7.33," "
2006-12-04,1,1.321278947,EUR,,6.93," "
2006-12-05,1,1.321278947,EUR,,6.7," "
2006-12-06,1,1.321278947,EUR,,7.06," "
2006-12-07,1,1.321278947,EUR,,7.28," "
2006-12-08,1,1.321278947,EUR,,7.19," "
2006-12-11,1,1.321278947,EUR,,7.01," "
2006-12-12,1,1.321278947,EUR,,6.8," "
2006-12-13,1,1.321278947,EUR,,6.42," "
2006-12-14,1,1.321278947,EUR,,6.35," "
2006-12-15,1,1.321278947,EUR,,6.53," "
2006-12-18,1,1.321278947,EUR,,6.52," "
2006-12-19,1,1.321278947,EUR,,6.54," "
2006-12-20,1,1.321278947,EUR,,6.54," "
2006-12-21,1,1.321278947,EUR,,6.62," "
2006-12-22,1,1.321278947,EUR,,6.85," "
2006-12-27,1,1.321278947,EUR,,6.6," "
2006-12-28,1,1.321278947,EUR,,6.59," "
2006-12-29,1,1.321278947,EUR,,6.55," "
2007-01-02,1,1.299863636,EUR,,5.53," "
2007-01-03,1,1.299863636,EUR,,4.93," "
2007-01-04,1,1.299863636,EUR,,4.83," "
2007-01-05,1,1.299863636,EUR,,4.8," "
2007-01-08,1,1.299863636,EUR,,3.87," "
2007-01-09,1,1.299863636,EUR,,3.54," "
2007-01-10,1,1.299863636,EUR,,3.81," "
2007-01-11,1,1.299863636,EUR,,4.03," "
2007-01-12,1,1.299863636,EUR,,3.99," "
2007-01-15,1,1.299863636,EUR,,4.2," "
2007-01-16,1,1.299863636,EUR,,4.23," "
2007-01-17,1,1.299863636,EUR,,4.1," "
2007-01-18,1,1.299863636,EUR,,3.93," "
2007-01-19,1,1.299863636,EUR,,3.9," "
2007-01-22,1,1.299863636,EUR,,3.83," "
2007-01-23,1,1.299863636,EUR,,3.67," "
2007-01-24,1,1.299863636,EUR,,3.41," "
2007-01-25,1,1.299863636,EUR,,3.24," "
2007-01-26,1,1.299863636,EUR,,3," "
2007-01-29,1,1.299863636,EUR,,2.38," "
2007-01-30,1,1.299863636,EUR,,2.36," "
2007-01-31,1,1.299863636,EUR,,2.28," "
2007-02-01,1,1.30742,EUR,,2.18," "
2007-02-02,1,1.30742,EUR,,2.03," "
2007-02-05,1,1.30742,EUR,,1.73," "
2007-02-06,1,1.30742,EUR,,1.4," "
2007-02-07,1,1.30742,EUR,,1.33," "
2007-02-08,1,1.30742,EUR,,1.44," "
2007-02-09,1,1.30742,EUR,,1.55," "
2007-02-12,1,1.30742,EUR,,1.38," "
2007-02-13,1,1.30742,EUR,,1.22," "
2007-02-14,1,1.30742,EUR,,1.16," "
2007-02-15,1,1.30742,EUR,,1.1," "
2007-02-16,1,1.30742,EUR,,1.06," "
2007-02-19,1,1.30742,EUR,,0.82," "
2007-02-20,1,1.30742,EUR,,0.78," "
2007-02-21,1,1.30742,EUR,,0.9," "
2007-02-22,1,1.30742,EUR,,0.78," "
2007-02-23,1,1.30742,EUR,,0.85," "
2007-02-26,1,1.30742,EUR,,0.9," "
2007-02-27,1,1.30742,EUR,,0.91," "
2007-02-28,1,1.30742,EUR,,0.94," "
2007-03-01,1,1.324186364,EUR,,0.94," "
2007-03-02,1,1.324186364,EUR,,1.04," "
2007-03-05,1,1.324186364,EUR,,0.95," "
2007-03-06,1,1.324186364,EUR,,0.99," "
2007-03-07,1,1.324186364,EUR,,1.08," "
2007-03-08,1,1.324186364,EUR,,1.08," "
2007-03-09,1,1.324186364,EUR,,1.3," "
2007-03-12,1,1.324186364,EUR,,1.28," "
2007-03-13,1,1.324186364,EUR,,1.25," "
2007-03-14,1,1.324186364,EUR,,1.18," "
2007-03-15,1,1.324186364,EUR,,1.1," "
2007-03-16,1,1.324186364,EUR,,1.15," "
2007-03-19,1,1.324186364,EUR,,1.08," "
2007-03-20,1,1.324186364,EUR,,0.99," "
2007-03-21,1,1.324186364,EUR,,1," "
2007-03-22,1,1.324186364,EUR,,0.98," "
2007-03-23,1,1.324186364,EUR,,0.97," "
2007-03-26,1,1.324186364,EUR,,0.96," "
2007-03-27,1,1.324186364,EUR,,0.99," "
2007-03-28,1,1.324186364,EUR,,1.13," "
2007-03-29,1,1.324186364,EUR,,1.33," "
2007-03-30,1,1.324186364,EUR,,1.25," "
2007-04-02,1,1.351615789,EUR,,0.94," "
2007-04-03,1,1.351615789,EUR,,0.86," "
2007-04-04,1,1.351615789,EUR,,0.8," "
2007-04-05,1,1.351615789,EUR,,0.78," "
2007-04-10,1,1.351615789,EUR,,0.8," "
2007-04-11,1,1.351615789,EUR,,0.79," "
2007-04-12,1,1.351615789,EUR,,0.79," "
2007-04-13,1,1.351615789,EUR,,0.73," "
2007-04-16,1,1.351615789,EUR,,0.7," "
2007-04-17,1,1.351615789,EUR,,0.66," "
2007-04-18,1,1.351615789,EUR,,0.52," "
2007-04-19,1,1.351615789,EUR,,0.47," "
2007-04-20,1,1.351615789,EUR,,0.58," "
2007-04-23,1,1.351615789,EUR,,0.64," "
2007-04-24,1,1.351615789,EUR,,0.64," "
2007-04-25,1,1.351615789,EUR,,0.62," "
2007-04-26,1,1.351615789,EUR,,0.55," "
2007-04-27,1,1.351615789,EUR,,0.52," "
2007-04-30,1,1.351615789,EUR,,0.5," "
2007-05-02,1,1.351131818,EUR,,0.5," "
2007-05-03,1,1.351131818,EUR,,0.49," "
2007-05-04,1,1.351131818,EUR,,0.5," "
2007-05-07,1,1.351131818,EUR,,0.5," "
2007-05-08,1,1.351131818,EUR,,0.47," "
2007-05-09,1,1.351131818,EUR,,0.41," "
2007-05-10,1,1.351131818,EUR,,0.27," "
2007-05-11,1,1.351131818,EUR,,0.29," "
2007-05-14,1,1.351131818,EUR,,0.3," "
2007-05-15,1,1.351131818,EUR,,0.26," "
