DATE,PCEPI_PC1
1966-11-01,3.20640
1966-12-01,3.05101
1967-01-01,2.93360
1967-02-01,2.62938
1967-03-01,2.43264
1967-04-01,2.25239
1967-05-01,2.32063
1967-06-01,2.39164
1967-07-01,2.54023
1967-08-01,2.46595
1967-09-01,2.45230
1967-10-01,2.46921
1967-11-01,2.65796
1967-12-01,2.60586
1968-01-01,3.07683
1968-02-01,3.37536
1968-03-01,3.65811
1968-04-01,3.80847
1968-05-01,3.99213
1968-06-01,3.99677
1968-07-01,3.96023
1968-08-01,4.06257
1968-09-01,4.10740
1968-10-01,4.27253
1968-11-01,4.28117
1968-12-01,4.33107
1969-01-01,4.25460
1969-02-01,4.09689
1969-03-01,4.24602
1969-04-01,4.37793
1969-05-01,4.41193
1969-06-01,4.58075
1969-07-01,4.72162
1969-08-01,4.58125
1969-09-01,4.65320
1969-10-01,4.55092
1969-11-01,4.64990
1969-12-01,4.91198
1970-01-01,4.87660
1970-02-01,5.02618
1970-03-01,4.79312
1970-04-01,4.86304
1970-05-01,4.77434
1970-06-01,4.53919
1970-07-01,4.46122
1970-08-01,4.44901
1970-09-01,4.48301
1970-10-01,4.64545
1970-11-01,4.60458
1970-12-01,4.58877
1971-01-01,4.43825
1971-02-01,4.32816
1971-03-01,4.41493
1971-04-01,4.29570
1971-05-01,4.39913
1971-06-01,4.59065
1971-07-01,4.52340
1971-08-01,4.55187
1971-09-01,4.24048
1971-10-01,3.88495
1971-11-01,3.69062
1971-12-01,3.63969
1972-01-01,3.84444
1972-02-01,3.95152
1972-03-01,3.75681
1972-04-01,3.50731
1972-05-01,3.30768
1972-06-01,3.00694
1972-07-01,3.06562
1972-08-01,3.06639
1972-09-01,3.37474
1972-10-01,3.33109
1972-11-01,3.42495
1972-12-01,3.34942
1973-01-01,3.23578
1973-02-01,3.36999
1973-03-01,3.95683
1973-04-01,4.56994
1973-05-01,4.85217
1973-06-01,5.29215
1973-07-01,5.29674
1973-08-01,6.20293
1973-09-01,6.14725
1973-10-01,6.62883
1973-11-01,7.18427
1973-12-01,7.72076
1974-01-01,8.42590
1974-02-01,9.11550
1974-03-01,9.60208
1974-04-01,9.56298
1974-05-01,10.10074
1974-06-01,10.40558
1974-07-01,10.81804
1974-08-01,10.69903
1974-09-01,11.40701
1974-10-01,11.57403
1974-11-01,11.49719
1974-12-01,11.46352
1975-01-01,11.09127
1975-02-01,10.40888
1975-03-01,9.51273
1975-04-01,9.11191
1975-05-01,8.47970
1975-06-01,8.23815
1975-07-01,8.36684
1975-08-01,7.71128
1975-09-01,7.13189
1975-10-01,6.98729
1975-11-01,6.87313
1975-12-01,6.61892
1976-01-01,6.36385
1976-02-01,5.92601
1976-03-01,5.72772
1976-04-01,5.61016
1976-05-01,5.68943
1976-06-01,5.49319
1976-07-01,5.12744
1976-08-01,5.24935
1976-09-01,5.31907
1976-10-01,5.25912
1976-11-01,5.06210
1976-12-01,5.07042
1977-01-01,5.28153
1977-02-01,5.96816
1977-03-01,6.33947
1977-04-01,6.71535
1977-05-01,6.74766
1977-06-01,6.87784
1977-07-01,6.88901
1977-08-01,6.79864
1977-09-01,6.60361
1977-10-01,6.54144
1977-11-01,6.66736
1977-12-01,6.58899
1978-01-01,6.59878
1978-02-01,6.26272
1978-03-01,6.41700
1978-04-01,6.60472
1978-05-01,6.82508
1978-06-01,6.92310
1978-07-01,6.95348
1978-08-01,6.99685
1978-09-01,7.19969
1978-10-01,7.55418
1978-11-01,7.54674
1978-12-01,7.52636
1979-01-01,7.70340
1979-02-01,7.77625
1979-03-01,7.91960
1979-04-01,8.22504
1979-05-01,8.56973
1979-06-01,8.75625
1979-07-01,8.98960
1979-08-01,9.26990
1979-09-01,9.61151
1979-10-01,9.63246
1979-11-01,9.77102
1979-12-01,10.17844
1980-01-01,10.49796
1980-02-01,11.10256
1980-03-01,11.59518
1980-04-01,11.01904
1980-05-01,10.73638
1980-06-01,10.52286
1980-07-01,10.53958
1980-08-01,10.61420
1980-09-01,10.66065
1980-10-01,10.64341
1980-11-01,10.77594
1980-12-01,10.56643
1981-01-01,10.47032
1981-02-01,10.39279
1981-03-01,9.81388
1981-04-01,9.72109
1981-05-01,9.36282
1981-06-01,9.11039
1981-07-01,8.92226
1981-08-01,8.69864
1981-09-01,8.35453
1981-10-01,7.98092
1981-11-01,7.68354
1981-12-01,7.31887
1982-01-01,6.92985
1982-02-01,6.17728
1982-03-01,5.71257
1982-04-01,5.30587
1982-05-01,5.45800
1982-06-01,5.80077
1982-07-01,5.78950
1982-08-01,5.45659
1982-09-01,5.11236
1982-10-01,5.22578
1982-11-01,4.97929
1982-12-01,4.81488
1983-01-01,4.68155
1983-02-01,4.54473
1983-03-01,4.41063
1983-04-01,4.83454
1983-05-01,4.51084
1983-06-01,4.14504
1983-07-01,4.11617
1983-08-01,4.23872
1983-09-01,4.31543
1983-10-01,3.90881
1983-11-01,3.74364
1983-12-01,3.64388
1984-01-01,3.61173
1984-02-01,4.13187
1984-03-01,4.33942
1984-04-01,4.26135
1984-05-01,4.09840
1984-06-01,3.89630
1984-07-01,3.68219
1984-08-01,3.55806
1984-09-01,3.33581
1984-10-01,3.40421
1984-11-01,3.40362
1984-12-01,3.63824
1985-01-01,3.70448
1985-02-01,3.48968
1985-03-01,3.55530
1985-04-01,3.31163
1985-05-01,3.42549
1985-06-01,3.52277
1985-07-01,3.40722
1985-08-01,3.43170
1985-09-01,3.46603
1985-10-01,3.39444
1985-11-01,3.54903
1985-12-01,3.60425
1986-01-01,3.56404
1986-02-01,3.08546
1986-03-01,2.45834
1986-04-01,2.10152
1986-05-01,2.04650
1986-06-01,2.14878
1986-07-01,1.92438
1986-08-01,1.71551
1986-09-01,1.87714
1986-10-01,1.88985
1986-11-01,1.77585
1986-12-01,1.57522
1987-01-01,1.58562
1987-02-01,1.94190
1987-03-01,2.43663
1987-04-01,3.02941
1987-05-01,3.10237
1987-06-01,3.10844
1987-07-01,3.32069
1987-08-01,3.59959
1987-09-01,3.60923
1987-10-01,3.75233
1987-11-01,3.76309
1987-12-01,3.81212
1988-01-01,3.72683
1988-02-01,3.51794
1988-03-01,3.59865
1988-04-01,3.71501
1988-05-01,3.75319
1988-06-01,3.80160
1988-07-01,4.06523
1988-08-01,3.96254
1988-09-01,4.11823
1988-10-01,4.12767
1988-11-01,4.17219
1988-12-01,4.30436
1989-01-01,4.43450
1989-02-01,4.62640
1989-03-01,4.65679
1989-04-01,4.84399
1989-05-01,4.92167
1989-06-01,4.70537
1989-07-01,4.44812
1989-08-01,4.15224
1989-09-01,3.87779
1989-10-01,3.94427
1989-11-01,3.92976
1989-12-01,3.90681
1990-01-01,4.15903
1990-02-01,4.27113
1990-03-01,4.27648
1990-04-01,3.80424
1990-05-01,3.65928
1990-06-01,3.89030
1990-07-01,3.89843
1990-08-01,4.57662
1990-09-01,4.98489
1990-10-01,5.17477
1990-11-01,5.07895
1990-12-01,4.87326
1991-01-01,4.48141
1991-02-01,4.07577
1991-03-01,3.70640
1991-04-01,3.67666
1991-05-01,3.87249
1991-06-01,3.59014
1991-07-01,3.49755
1991-08-01,3.05345
1991-09-01,2.77681
1991-10-01,2.38279
1991-11-01,2.47832
1991-12-01,2.63844
1992-01-01,2.38815
1992-02-01,2.59607
1992-03-01,2.82256
1992-04-01,2.91365
1992-05-01,2.62560
1992-06-01,2.63414
1992-07-01,2.81127
1992-08-01,2.70947
1992-09-01,2.52478
1992-10-01,2.69515
1992-11-01,2.67160
1992-12-01,2.59460
1993-01-01,2.70443
1993-02-01,2.59885
1993-03-01,2.56080
1993-04-01,2.55707
1993-05-01,2.73721
1993-06-01,2.59022
1993-07-01,2.41641
1993-08-01,2.45406
1993-09-01,2.39355
1993-10-01,2.35384
1993-11-01,2.34609
1993-12-01,2.19085
1994-01-01,1.97724
1994-02-01,2.05963
1994-03-01,2.13132
1994-04-01,1.98044
1994-05-01,1.81418
1994-06-01,2.02756
1994-07-01,2.18571
1994-08-01,2.24643
1994-09-01,2.25329
1994-10-01,2.10565
1994-11-01,2.10624
1994-12-01,2.14846
1995-01-01,2.32150
1995-02-01,2.26595
1995-03-01,2.17329
1995-04-01,2.32068
1995-05-01,2.32942
1995-06-01,2.18041
1995-07-01,1.98703
1995-08-01,1.97197
1995-09-01,1.92930
1995-10-01,2.02032
1995-11-01,1.82380
1995-12-01,1.95399
1996-01-01,1.97387
1996-02-01,1.95402
1996-03-01,2.07362
1996-04-01,2.11112
1996-05-01,2.13005
1996-06-01,2.02903
1996-07-01,2.11646
1996-08-01,1.99417
1996-09-01,2.21193
1996-10-01,2.25609
1996-11-01,2.44099
1996-12-01,2.36310
1997-01-01,2.26874
1997-02-01,2.32060
1997-03-01,2.12020
1997-04-01,1.91524
1997-05-01,1.69339
1997-06-01,1.82513
1997-07-01,1.67107
1997-08-01,1.65505
1997-09-01,1.61297
1997-10-01,1.43884
1997-11-01,1.26445
1997-12-01,1.12567
1998-01-01,1.04421
1998-02-01,0.78117
1998-03-01,0.69064
1998-04-01,0.71699
1998-05-01,0.90091
1998-06-01,0.68655
1998-07-01,0.87507
1998-08-01,0.93400
1998-09-01,0.63297
1998-10-01,0.72265
1998-11-01,0.72119
1998-12-01,0.84440
1999-01-01,0.93587
1999-02-01,0.93212
1999-03-01,0.99279
1999-04-01,1.35456
1999-05-01,1.28218
1999-06-01,1.39903
1999-07-01,1.41811
1999-08-01,1.46256
1999-09-01,1.88554
1999-10-01,1.83368
1999-11-01,1.92065
1999-12-01,2.05476
2000-01-01,2.18914
2000-02-01,2.56874
2000-03-01,2.93088
2000-04-01,2.35099
2000-05-01,2.36895
2000-06-01,2.68426
2000-07-01,2.66881
2000-08-01,2.47547
2000-09-01,2.54810
2000-10-01,2.51486
2000-11-01,2.56633
2000-12-01,2.48478
2001-01-01,2.70144
2001-02-01,2.53720
2001-03-01,2.10870
2001-04-01,2.37324
2001-05-01,2.55765
2001-06-01,2.39173
2001-07-01,2.10173
2001-08-01,2.09646
2001-09-01,1.31310
2001-10-01,1.53188
2001-11-01,1.32157
2001-12-01,1.06208
2002-01-01,0.66594
2002-02-01,0.67957
2002-03-01,0.94331
2002-04-01,1.18771
2002-05-01,0.98826
2002-06-01,0.93620
2002-07-01,1.19216
2002-08-01,1.40295
2002-09-01,1.93282
2002-10-01,1.76045
2002-11-01,1.92999
2002-12-01,2.13367
2003-01-01,2.34652
2003-02-01,2.60462
2003-03-01,2.58965
2003-04-01,1.98870
2003-05-01,1.80481
2003-06-01,1.78813
2003-07-01,1.86274
2003-08-01,2.00672
2003-09-01,2.14134
2003-10-01,1.96821
2003-11-01,1.99618
2003-12-01,2.12288
2004-01-01,2.21241
2004-02-01,2.00062
2004-03-01,1.89643
2004-04-01,2.25922
2004-05-01,2.70954
2004-06-01,2.89091
2004-07-01,2.68454
2004-08-01,2.39117
2004-09-01,2.27392
2004-10-01,2.70001
2004-11-01,2.96563
2004-12-01,2.79372
2005-01-01,2.53203
2005-02-01,2.59873
2005-03-01,2.74751
2005-04-01,2.84450
2005-05-01,2.56897
2005-06-01,2.34120
2005-07-01,2.67943
2005-08-01,3.04080
2005-09-01,3.83002
2005-10-01,3.55136
2005-11-01,2.93841
2005-12-01,2.88363
2006-01-01,3.24694
2006-02-01,3.02224
2006-03-01,2.91367
2006-04-01,3.10283
2006-05-01,3.32153
2006-06-01,3.51163
2006-07-01,3.42735
2006-08-01,3.33588
2006-09-01,2.08003
2006-10-01,1.67697
2006-11-01,1.92467
2006-12-01,2.28675
2007-01-01,2.13326
2007-02-01,2.38921
2007-03-01,2.56490
2007-04-01,2.33078
2007-05-01,2.35298
2007-06-01,2.31763
2007-07-01,2.12473
2007-08-01,1.87372
2007-09-01,2.53469
2007-10-01,3.08847
2007-11-01,3.59963
2007-12-01,3.47163
2008-01-01,3.38741
2008-02-01,3.27292
2008-03-01,3.19114
2008-04-01,3.13952
2008-05-01,3.28214
2008-06-01,3.81144
2008-07-01,4.13566
2008-08-01,3.98063
2008-09-01,3.66784
2008-10-01,2.67184
2008-11-01,0.92503
2008-12-01,0.12957
2009-01-01,-0.11110
2009-02-01,-0.13125
2009-03-01,-0.52575
2009-04-01,-0.56757
2009-05-01,-0.88921
2009-06-01,-1.01862
2009-07-01,-1.46601
2009-08-01,-1.10012
2009-09-01,-1.02275
2009-10-01,0.01339
2009-11-01,1.46061
2009-12-01,2.08972
2010-01-01,2.30172
2010-02-01,2.11633
2010-03-01,2.37272
2010-04-01,2.28212
2010-05-01,2.20847
2010-06-01,1.56222
2010-07-01,1.63739
2010-08-01,1.48240
2010-09-01,1.41955
2010-10-01,1.35842
2010-11-01,1.30720
2010-12-01,1.47767
2011-01-01,1.55987
2011-02-01,1.84503
2011-03-01,2.11055
2011-04-01,2.48810
2011-05-01,2.76625
2011-06-01,2.78845
2011-07-01,2.87570
2011-08-01,2.97673
2011-09-01,3.01903
2011-10-01,2.69363
2011-11-01,2.69926
2011-12-01,2.52662
2012-01-01,2.56931
2012-02-01,2.51315
2012-03-01,2.29803
2012-04-01,1.99985
2012-05-01,1.57694
2012-06-01,1.54602
2012-07-01,1.41003
2012-08-01,1.51187
2012-09-01,1.67797
2012-10-01,1.97688
2012-11-01,1.69910
