y,const,trend,,ly1,ly2,ly3,ly4,ly5,ly6,ly7,ly8,ly9,ly10,ly11,ly12
1963-03-01,1.02279,1,39,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207,0.9993,1.27575,1.25718,1.25152,1.07849
1963-04-01,0.90181,1,40,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207,0.9993,1.27575,1.25718,1.25152
1963-05-01,1.00208,1,41,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207,0.9993,1.27575,1.25718
1963-06-01,1.15891,1,42,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207,0.9993,1.27575
1963-07-01,1.41795,1,43,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207,0.9993
1963-08-01,1.4096,1,44,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442,1.06207
1963-09-01,0.89549,1,45,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468,1.442
1963-10-01,1.191,1,46,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024,1.3468
1963-11-01,1.26535,1,47,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637,1.41024
1963-12-01,1.45382,1,48,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086,1.34637
1964-01-01,1.41902,1,49,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909,1.40086
1964-02-01,1.45498,1,50,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279,1.23909
1964-03-01,1.5999,1,51,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181,1.02279
1964-04-01,1.68125,1,52,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208,0.90181
1964-05-01,1.52877,1,53,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891,1.00208
1964-06-01,1.45072,1,54,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795,1.15891
1964-07-01,1.37948,1,55,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096,1.41795
1964-08-01,1.31554,1,56,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549,1.4096
1964-09-01,1.48957,1,57,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191,0.89549
1964-10-01,1.35663,1,58,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535,1.191
1964-11-01,1.3547,1,59,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382,1.26535
1964-12-01,1.35269,1,60,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902,1.45382
1965-01-01,1.25123,1,61,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498,1.41902
1965-02-01,1.15098,1,62,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999,1.45498
1965-03-01,1.21794,1,63,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125,1.5999
1965-04-01,1.30309,1,64,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877,1.68125
1965-05-01,1.51804,1,65,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072,1.52877
1965-06-01,1.66933,1,66,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948,1.45072
1965-07-01,1.61201,1,67,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554,1.37948
1965-08-01,1.56183,1,68,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957,1.31554
1965-09-01,1.45548,1,69,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663,1.48957
1965-10-01,1.42403,1,70,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547,1.35663
1965-11-01,1.45255,1,71,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269,1.3547
1965-12-01,1.66982,1,72,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123,1.35269
1966-01-01,1.68016,1,73,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098,1.25123
1966-02-01,2.05671,1,74,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794,1.15098
1966-03-01,2.17563,1,75,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309,1.21794
1966-04-01,2.36636,1,76,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804,1.30309
1966-05-01,2.2642,1,77,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933,1.51804
1966-06-01,2.22142,1,78,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201,1.66933
1966-07-01,2.34648,1,79,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183,1.61201
1966-08-01,2.71379,1,80,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548,1.56183
1966-09-01,2.98975,1,81,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403,1.45548
1966-10-01,3.22989,1,82,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255,1.42403
1966-11-01,3.2064,1,83,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982,1.45255
1966-12-01,3.0510100000000002,1,84,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016,1.66982
1967-01-01,2.9336,1,85,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671,1.68016
1967-02-01,2.62938,1,86,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563,2.05671
1967-03-01,2.43264,1,87,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636,2.17563
1967-04-01,2.25239,1,88,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642,2.36636
1967-05-01,2.32063,1,89,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142,2.2642
1967-06-01,2.39164,1,90,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648,2.22142
1967-07-01,2.54023,1,91,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379,2.34648
1967-08-01,2.46595,1,92,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975,2.71379
1967-09-01,2.4523,1,93,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989,2.98975
1967-10-01,2.46921,1,94,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064,3.22989
1967-11-01,2.65796,1,95,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002,3.2064
1967-12-01,2.60586,1,96,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336,3.0510100000000002
1968-01-01,3.07683,1,97,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938,2.9336
1968-02-01,3.37536,1,98,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264,2.62938
1968-03-01,3.65811,1,99,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239,2.43264
1968-04-01,3.80847,1,100,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063,2.25239
1968-05-01,3.99213,1,101,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164,2.32063
1968-06-01,3.99677,1,102,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023,2.39164
1968-07-01,3.96023,1,103,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595,2.54023
1968-08-01,4.06257,1,104,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523,2.46595
1968-09-01,4.1074,1,105,4.06257,3.96023,3.99677,3.99213,3.80847,3.65811,3.37536,3.07683,2.60586,2.65796,2.46921,2.4523
